Student,Region,Campus,Program,Starting/Readmitted Cohort,Graduating Cohort,Testing Cohort,Attempt Number,Result
3353,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2024SUQ,2025FAQ,2025WIQ,1,1
3354,Lehigh Valley Region,SCR,BSN.PRE.BSN,2022FAQ,2025SUQ,2025FAQ,1,1
3355,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2024SPQ,2025FAQ,2025WIQ,1,1
3356,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
3357,Lehigh Valley Region,BTH,BSN.PRE.BSN,2023SPQ,2025SUQ,2025WIQ,1,1
3358,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
3359,Hudson Valley Region,SCH,BSN.PRE.BSN,2022SUQ,2024FAQ,2024WIQ,1,1
3360,Hudson Valley Region,SCH,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,1
3361,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025SUQ,2025FAQ,1,1
3362,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
3363,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
3364,Lehigh Valley Region,SCR,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,1
3365,Greater Boston Region,WOR,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SPQ,1,1
3366,Lehigh Valley Region,REA,ADN.2YR.AS,2022FAQ,2024FAQ,2024WIQ,1,1
3367,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,0
3367,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025WIQ,2,1
3368,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SPQ,2025SPQ,2025SUQ,1,1
3369,Hudson Valley Region,ALB,BSN.PRE.BSN,2021WIQ,2023WIQ,2024SPQ,1,1
3370,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
3371,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2024SUQ,2024FAQ,1,0
3371,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2024SUQ,2024WIQ,2,1
3372,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023WIQ,2024SPQ,1,1
3373,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
3374,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
3375,Greater Boston Region,WOR,BSN.PRE.BSN,2022SPQ,2024WIQ,2025SPQ,1,1
3376,Hudson Valley Region,POU,ADN.2YR.AS,2023FAQ,2024FAQ,2024WIQ,1,0
3376,Hudson Valley Region,POU,ADN.2YR.AS,2023FAQ,2024FAQ,2025SPQ,2,1
3377,Lehigh Valley Region,REA,ADN.2YR.AS,2022FAQ,2025SPQ,2025SUQ,1,1
3378,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
3379,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023WIQ,2024WIQ,2025SPQ,1,0
3380,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021FAQ,2024SPQ,2024SUQ,1,1
3381,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2024SPQ,2024SUQ,1,1
3382,Greater Boston Region,WOR,BSN.PRE.BSN,2023WIQ,2025FAQ,2025WIQ,1,1
3383,Hudson Valley Region,ALB,ADN.2YR.AS,2023SUQ,2024WIQ,2025SPQ,1,1
3384,Hudson Valley Region,KIN,ADN.2YR.AAS,2022FAQ,2024FAQ,2024WIQ,1,1
3385,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2025SUQ,2025FAQ,1,1
3386,Greater Boston Region,WOR,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,1
3387,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2025SPQ,2025SUQ,1,1
3388,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
3389,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2025FAQ,2025WIQ,1,1
3390,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024WIQ,1,1
3391,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SPQ,2024FAQ,2024WIQ,1,0
3391,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SPQ,2024FAQ,2025SPQ,2,1
3392,Hudson Valley Region,POU,ADN.2YR.AS,2023FAQ,2023WIQ,2024SPQ,1,1
3393,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
3394,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SUQ,2025FAQ,2025WIQ,1,0
3395,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024FAQ,2024WIQ,1,1
3396,Lehigh Valley Region,ALL,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,1
3397,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2025SUQ,2025SUQ,1,1
3398,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SPQ,1,1
3399,Hudson Valley Region,ALB,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,1
3400,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
3401,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
3402,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
3403,Greater Boston Region,WOR,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,1,1
3404,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024SPQ,2024SUQ,1,1
3405,Connecticut Valley Region,WTB,ADN.BRDG.NE.AS,2023FAQ,2024WIQ,2025SPQ,1,1
3406,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
3407,Greater Boston Region,SPR,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,1
3408,Connecticut Valley Region,NHV,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
3409,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
3410,Hudson Valley Region,POU,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
3411,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2025SUQ,2025FAQ,1,1
3412,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023WIQ,2024WIQ,2025SPQ,1,1
3413,Hudson Valley Region,KIN,ADN.2YR.AAS,2025SUQ,2025FAQ,2025FAQ,1,1
3414,Hudson Valley Region,ALB,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
3415,Hudson Valley Region,KIN,ADN.2YR.AAS,2024SPQ,2025FAQ,2025WIQ,1,1
3416,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023FAQ,2024FAQ,1,1
3417,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2025SPQ,2025SPQ,1,0
3417,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2025SPQ,2025SUQ,2,1
3418,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3418,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024FAQ,2025SPQ,2,1
3419,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
3420,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SUQ,1,1
3421,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024SUQ,2024FAQ,1,1
3421,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024SUQ,2024WIQ,2,1
3422,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,1
3423,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SUQ,2025FAQ,1,0
3423,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SUQ,2025WIQ,2,1
3424,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024FAQ,2024WIQ,1,1
3425,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3426,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
3427,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
3428,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023SUQ,2024SUQ,2024FAQ,1,1
3429,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023WIQ,2025SPQ,2025SUQ,1,1
3430,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,0
3431,Greater Boston Region,BOS,BSN.PRE.BSN,2021SUQ,2023WIQ,2024SPQ,1,1
3432,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025FAQ,1,1
3433,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2023WIQ,2024SPQ,1,1
3434,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
3435,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SUQ,2025SUQ,1,1
3436,Greater Boston Region,BOS,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,1
3437,Greater Boston Region,BOS,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,1
3438,Lehigh Valley Region,BTH,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
3439,Greater Boston Region,BOS,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,1
3440,Hudson Valley Region,ALB,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
3441,Hudson Valley Region,KIN,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,0
3441,Hudson Valley Region,KIN,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SUQ,2,1
3442,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022WIQ,2025SUQ,2025FAQ,1,1
3443,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,0
3443,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024FAQ,2,0
3443,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024WIQ,3,1
3444,Hudson Valley Region,ALB,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
3445,Connecticut Valley Region,WTB,ADN.BRDG.NE.AS,2023WIQ,2025SUQ,2025SUQ,1,1
3446,Hudson Valley Region,ALB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
3447,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SPQ,2025FAQ,2025WIQ,1,1
3448,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
3449,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024FAQ,2024WIQ,1,1
3450,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,0
3450,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2023WIQ,2024SUQ,2,0
3450,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2023WIQ,2024FAQ,3,1
3451,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
3452,Lehigh Valley Region,ALL,ADN.2YR.AS,2021WIQ,2024SPQ,2024FAQ,1,1
3453,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
3454,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023WIQ,2024WIQ,2025SPQ,1,1
3455,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
3456,Greater Boston Region,WOR,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SPQ,1,1
3457,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SPQ,2025SUQ,1,1
3458,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
3459,Greater Boston Region,LOW,ADN.BRDG.AAS,2025SUQ,2025SUQ,2025FAQ,1,1
3460,Lehigh Valley Region,REA,BSN.PRE.BSN,2023SUQ,2025FAQ,2025WIQ,1,1
3461,Connecticut Valley Region,NHV,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
3462,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
3463,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2025FAQ,2025WIQ,1,0
3463,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2025FAQ,2025WIQ,2,1
3464,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,1
3465,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024FAQ,2024WIQ,1,1
3466,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
3467,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
3468,Hudson Valley Region,SCH,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
3469,Lehigh Valley Region,REA,ADN.BRDG.AS,2023FAQ,2024WIQ,2025SPQ,1,1
3470,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3471,Lehigh Valley Region,ALL,BSN.PRE.BSN,2024WIQ,2025SPQ,2025SUQ,1,1
3472,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SPQ,2025SUQ,1,0
3473,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025FAQ,2025WIQ,1,1
3474,Lehigh Valley Region,REA,ADN.2YR.AS,2023SUQ,2025FAQ,2025WIQ,1,1
3475,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,1
3476,Lehigh Valley Region,REA,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
3477,Hudson Valley Region,NEW,ADN.BRDG.AS,2024SPQ,2025FAQ,2025WIQ,1,1
3478,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021SPQ,2023WIQ,2024SPQ,1,1
3479,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024WIQ,2025SPQ,1,0
3479,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024WIQ,2025FAQ,2,1
3480,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2024SPQ,2024SPQ,1,1
3481,Hudson Valley Region,ALB,ADN.2YR.AS,2023FAQ,2025SUQ,2025FAQ,1,1
3482,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
3483,Lehigh Valley Region,REA,ADN.BRDG.AS,2022WIQ,2024SUQ,2024FAQ,1,1
3484,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,1,1
3485,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023WIQ,2025SUQ,2025FAQ,1,1
3486,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022SUQ,2024SPQ,2024SUQ,1,0
3486,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022SUQ,2024SPQ,2024FAQ,2,1
3487,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,0
3487,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,2,1
3488,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
3489,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023FAQ,2024SPQ,2,1
3490,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2024WIQ,2025SPQ,1,1
3491,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2025FAQ,2025WIQ,1,1
3492,Lehigh Valley Region,ALL,BSN.PRE.BSN,2024SPQ,2024WIQ,2025SUQ,1,1
3493,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
3494,Hudson Valley Region,POU,ADN.2YR.AS,2022SPQ,2024FAQ,2024WIQ,1,0
3495,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025SPQ,2025SUQ,1,1
3496,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
3497,Hudson Valley Region,POU,ADN.2YR.AS,2022SUQ,2024WIQ,2025SPQ,1,1
3498,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024FAQ,1,1
3499,Hudson Valley Region,KIN,ADN.ADV.AAS,2023FAQ,2025SUQ,2025FAQ,1,1
3500,Greater Boston Region,WOR,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
3501,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,0
3501,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2025SPQ,2025FAQ,2,1
3502,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
3503,Hudson Valley Region,SCH,ADN.2YR.AS,2022SPQ,2024SUQ,2024FAQ,1,1
3504,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2025FAQ,2025WIQ,1,1
3505,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SPQ,2024SUQ,2024FAQ,1,1
3506,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,1
3507,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023SPQ,2024SUQ,2024WIQ,1,1
3508,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,0
3508,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025WIQ,2,1
3509,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3510,Hudson Valley Region,KIN,ADN.2YR.AAS,2022SPQ,2024SPQ,2024SUQ,1,1
3511,Hudson Valley Region,KIN,ADN.2YR.AAS,2025SUQ,2025FAQ,2025FAQ,1,1
3512,Hudson Valley Region,ALB,ADN.2YR.AS,2023SUQ,2025SUQ,2025FAQ,1,1
3513,Hudson Valley Region,ALB,ADN.BRDG.AS,2022FAQ,2023SPQ,2024SUQ,1,1
3514,Connecticut Valley Region,BRI,BSN.PRE.BSN,2023SUQ,2025WIQ,2025WIQ,1,1
3515,Hudson Valley Region,ALB,ADN.BRDG.AS,2022WIQ,2024SPQ,2024SUQ,1,1
3516,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2024SUQ,2024FAQ,1,1
3517,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SPQ,2024SUQ,2024FAQ,1,1
3518,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
3519,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SPQ,2024SUQ,2024FAQ,1,1
3520,Hudson Valley Region,SCH,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3521,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
3522,Greater Boston Region,BOS,ADN.BRDG.AAS,2013SUQ,2014WIQ,2025SUQ,6,0
3522,Greater Boston Region,BOS,ADN.BRDG.AAS,2013SUQ,2014WIQ,2025FAQ,7,0
3523,Lehigh Valley Region,REA,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
3524,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SUQ,2024WIQ,2025SPQ,1,1
3525,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2023WIQ,2024SPQ,1,1
3526,Northern New England Region,POR,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
3527,Hudson Valley Region,KIN,ADN.2YR.AAS,2021WIQ,2024SPQ,2024SUQ,1,0
3527,Hudson Valley Region,KIN,ADN.2YR.AAS,2021WIQ,2024SPQ,2024SUQ,2,1
3528,Hudson Valley Region,ALB,ADN.BRDG.AS,2023WIQ,2024WIQ,2025SPQ,1,0
3528,Hudson Valley Region,ALB,ADN.BRDG.AS,2023WIQ,2024WIQ,2025SPQ,2,1
3529,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023WIQ,2025SUQ,2025WIQ,1,1
3530,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2024FAQ,2025SPQ,1,1
3531,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3532,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
3533,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,0
3533,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024FAQ,2025SPQ,2,1
3534,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
3535,Hudson Valley Region,SCH,ADN.BRDG.AS,2024WIQ,2024WIQ,2025SPQ,1,1
3536,Greater Boston Region,SPR,BSN.PRE.BSN,2023SUQ,2025FAQ,2025WIQ,1,1
3537,Lehigh Valley Region,REA,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,0
3537,Lehigh Valley Region,REA,ADN.2YR.AS,2023SUQ,2025SPQ,2025FAQ,2,1
3538,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SPQ,1,1
3539,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,0
3539,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,2,1
3540,Connecticut Valley Region,WTB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
3541,Hudson Valley Region,ALB,ADN.BRDG.AS,2024SPQ,2025FAQ,2025WIQ,1,1
3542,Hudson Valley Region,KIN,ADN.2YR.AAS,2022SPQ,2024SPQ,2024SUQ,1,1
3543,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2025SUQ,2025FAQ,1,1
3544,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
3545,Greater Boston Region,WOR,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SUQ,1,1
3546,Greater Boston Region,WOR,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
3547,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
3548,Lehigh Valley Region,ALL,BSN.PRE.BSN,2023SPQ,2023FAQ,2024SPQ,1,1
3549,Hudson Valley Region,ALB,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
3550,Hudson Valley Region,ALB,ADN.2YR.AS,2024SUQ,2025WIQ,2025WIQ,1,1
3551,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
3552,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
3553,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2025FAQ,2025WIQ,1,1
3554,Greater Boston Region,WOR,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
3555,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
3556,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2023WIQ,2024SPQ,1,1
3557,Hudson Valley Region,KIN,BSN.PRE.BSN,2022FAQ,2024SPQ,2024SUQ,1,1
3558,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,0
3558,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,2,1
3559,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023SUQ,2024SPQ,2024FAQ,1,1
3560,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2024SUQ,2024FAQ,1,1
3561,Lehigh Valley Region,SCR,BSN.PRE.BSN,2022SPQ,2024WIQ,2024WIQ,1,1
3562,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
3563,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,1
3564,Greater Boston Region,SPR,BSN.PRE.BSN,2023FAQ,2025FAQ,2025WIQ,1,0
3565,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025FAQ,1,1
3566,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
3567,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
3568,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2024WIQ,2025SPQ,1,1
3569,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SPQ,2024WIQ,2025SPQ,1,1
3570,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
3571,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025SUQ,1,1
3572,Greater Boston Region,BOS,BSN.PRE.BSN,2023FAQ,2025FAQ,2025WIQ,1,1
3573,Lehigh Valley Region,ALL,ADN.2YR.AS,2024SPQ,2025SPQ,2025SUQ,1,1
3574,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
3575,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
3576,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
3577,Northern New England Region,POR,ADN.BRDG.AS,2023FAQ,2024WIQ,2025SPQ,1,1
3578,Greater Boston Region,BOS,BSN.PRE.BSN,2022SPQ,2025SUQ,2025FAQ,1,1
3579,Hudson Valley Region,KIN,ADN.2YR.AAS,2024FAQ,2025SPQ,2025SUQ,1,0
3579,Hudson Valley Region,KIN,ADN.2YR.AAS,2024FAQ,2025SPQ,2025SUQ,2,1
3580,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
3581,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
3582,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
3583,Greater Boston Region,BOS,BSN.PRE.BSN,2022SPQ,2024SPQ,2024SUQ,1,1
